Weather_Key,Temperature,Precipitation,Condition
2025063010,30.7,0.0,Cloudy
2025063011,33.1,0.0,Cloudy
2025063012,34.4,0.0,Cloudy
2025063013,34.7,0.0,Cloudy
2025063014,35.0,0.0,Cloudy
2025063015,33.8,0.0,Cloudy
2025063016,32.7,0.0,Cloudy
2025063017,31.5,0.3,Rain
2025063018,31.1,0.0,Cloudy
2025063019,30.6,0.4,Rain
2025063020,29.7,0.0,Cloudy
2025063021,27.4,0.0,Cloudy
2025063022,26.8,0.0,Cloudy
2025063023,26.1,0.0,Cloudy
2025070100,25.4,0.0,Cloudy
2025070101,25.0,0.1,Rain
2025070102,24.3,4.2,Rain
2025070103,24.1,0.1,Rain
2025070104,24.2,0.1,Rain
2025070105,24.5,0.0,Cloudy
2025070106,25.1,0.0,Cloudy
2025070107,25.5,0.0,Cloudy
2025070108,27.0,0.0,Cloudy
2025070109,28.1,0.0,Cloudy
2025070110,29.9,0.0,Cloudy
2025070111,31.9,0.1,Rain
2025070112,32.8,0.1,Rain
2025070113,30.2,0.6,Rain
2025070114,29.4,0.0,Cloudy
2025070115,29.1,0.4,Rain
2025070116,31.5,0.0,Cloudy
2025070117,29.7,0.4,Rain
2025070118,28.5,0.1,Rain
2025070119,27.4,0.0,Cloudy
2025070120,26.9,0.1,Rain
2025070121,24.8,1.2,Rain
2025070122,24.5,0.4,Rain
2025070123,24.0,0.3,Rain
2025070200,23.6,0.5,Rain
2025070201,23.2,0.7,Rain
2025070202,22.9,0.6,Rain
2025070203,22.8,0.2,Rain
2025070204,22.9,0.0,Cloudy
2025070205,22.9,0.0,Cloudy
2025070206,22.8,0.0,Cloudy
2025070207,23.0,0.0,Cloudy
2025070208,23.3,0.0,Cloudy
2025070209,24.0,0.2,Rain
2025070210,24.8,0.1,Rain
2025070211,26.2,0.0,Cloudy
2025070212,26.6,0.0,Cloudy
2025070213,27.0,0.2,Rain
2025070214,27.6,0.2,Rain
2025070215,28.2,0.0,Cloudy
2025070216,29.1,0.0,Cloudy
2025070217,29.7,0.0,Cloudy
2025070218,29.6,0.0,Cloudy
2025070219,29.0,0.0,Cloudy
2025070220,27.8,0.0,Clear
2025070221,25.0,0.0,Cloudy
2025070222,24.5,0.0,Clear
